BlockTime,Contract,Address,Slug,Support,Votes
2023-09-14T18:53:33Z,0xbf47bda4b172daf321148197700cbed04dbe0d58,0x4361bd3a91cd912b98bbba1c293f5aa274660d54,83448672978700905239057610757936047422221712373596206104769542501341917025370,0,1e18
2023-09-14T18:53:59Z,0x5d4e25fa847430bf1974637f5ba8cb09d0b94ec7,0x4361bd3a91cd912b98bbba1c293f5aa274660d54,64079135735975573150210502098028701864166041591229799204083435254098103374426,0,1e18
2023-09-10T20:56:58Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0xe3dde813c4b6351ac8a0f2ef20fa4908b8f7f220,108847449953934424706892834402396181878272520624378754470086885016537875484443,0,1e18
2023-09-10T20:58:28Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0xe3dde813c4b6351ac8a0f2ef20fa4908b8f7f220,71808481421080345427043153337400603472773571220563348907914518286331132243618,0,1e18
2023-09-10T20:59:44Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0xe3dde813c4b6351ac8a0f2ef20fa4908b8f7f220,17084191411029919295366934468833772143814234181117091409833546473494269262434,0,1e18
2023-09-10T21:06:53Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0xe3dde813c4b6351ac8a0f2ef20fa4908b8f7f220,38214140887046507618343925407931276545681322014808237442130525872186006174453,0,1e18
2023-09-10T21:39:41Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0x4286ca5d4f58b5e1d165197501446060a7d2c2d5,35409676123996197099164617390615015675433903218984938244173674168615970035487,0,1e18
2023-09-10T21:40:53Z,0xbf47bda4b172daf321148197700cbed04dbe0d58,0x177040991b555c45191961fb687c4cfae8c5cd43,40868128974776955675722426960024790233015582703604233504089034453252446498883,0,2e18
2023-09-10T21:41:17Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0x4286ca5d4f58b5e1d165197501446060a7d2c2d5,43046903626140238807252539799681987168243060403454243371444106032235071954121,0,1e18
2023-09-10T21:42:17Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0x4286ca5d4f58b5e1d165197501446060a7d2c2d5,64985483380935620465827763515991168315489815791316240296277953795392760800314,0,1e18
2023-09-10T21:42:44Z,0x5d4e25fa847430bf1974637f5ba8cb09d0b94ec7,0x177040991b555c45191961fb687c4cfae8c5cd43,73557443291977642813084466995800948658516060250067423027394365229385438091859,0,1e18
2023-09-10T21:43:11Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0x4286ca5d4f58b5e1d165197501446060a7d2c2d5,80995040484493068791724833440321705175613278528017212117917920407170608770347,0,1e18
2023-09-10T21:47:28Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0xe3dde813c4b6351ac8a0f2ef20fa4908b8f7f220,78993831547705570346562491212618297384103351466615194832413234660142345315269,0,1e18
2023-09-10T21:52:50Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0x177040991b555c45191961fb687c4cfae8c5cd43,43046903626140238807252539799681987168243060403454243371444106032235071954121,0,2e18
2023-09-10T21:55:59Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0x177040991b555c45191961fb687c4cfae8c5cd43,38214140887046507618343925407931276545681322014808237442130525872186006174453,0,1e18
2023-09-10T21:59:09Z,0x5d4e25fa847430bf1974637f5ba8cb09d0b94ec7,0x582ab56093777f7a8ea908b87ae16ebd80106a7d,68632477848439792759466084807846844217186229166617841624274782826011902873935,0,2e18
2023-09-10T22:00:18Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0x582ab56093777f7a8ea908b87ae16ebd80106a7d,55904492660292011533696102886166779297826118077008310427424178494401059376652,0,2e18
2023-09-10T22:01:43Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0x582ab56093777f7a8ea908b87ae16ebd80106a7d,49013434716849319780555885814299692615117973625134673648171609821989022112077,0,2e18
2023-09-12T09:06:03Z,0xbf47bda4b172daf321148197700cbed04dbe0d58,0xa0c416cebd7b33287bee553e37a38110f21d5152,64925161250970691293814145386948018502544787197269242642402232900830124838446,0,32e17
2023-09-12T09:26:17Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0xcc475c6d51b5fe5cad3256c84af0ede800ff0767,11108514644810787506625942805151176146906343604336317526498323953994384495368,0,2e18
2023-09-12T09:31:28Z,0x5d4e25fa847430bf1974637f5ba8cb09d0b94ec7,0xcc475c6d51b5fe5cad3256c84af0ede800ff0767,64925161250970691293814145386948018502544787197269242642402232900830124838446,0,5e18
2023-09-12T09:37:21Z,0xbf47bda4b172daf321148197700cbed04dbe0d58,0x46ebb1a18f0c3e34772bb71b222456030b4c852e,64925161250970691293814145386948018502544787197269242642402232900830124838446,0,44e17
2023-09-12T09:38:46Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0x46ebb1a18f0c3e34772bb71b222456030b4c852e,96653596772796880781166540078336390662830123074269564342256907478131775634821,0,37e17
2023-09-12T09:38:50Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0x46ebb1a18f0c3e34772bb71b222456030b4c852e,96653596772796880781166540078336390662830123074269564342256907478131775634821,0,37e17
2023-09-12T09:48:17Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0x51fb007343726cc4148a8adc9b755179f41d10ba,38214140887046507618343925407931276545681322014808237442130525872186006174453,0,1e18
2023-09-12T09:53:37Z,0xbf47bda4b172daf321148197700cbed04dbe0d58,0xb066fc78998dde088662a31c99ee2c9196649989,64925161250970691293814145386948018502544787197269242642402232900830124838446,0,1e19
2023-09-12T09:55:04Z,0x5d4e25fa847430bf1974637f5ba8cb09d0b94ec7,0xb066fc78998dde088662a31c99ee2c9196649989,64925161250970691293814145386948018502544787197269242642402232900830124838446,0,1e19
2023-09-12T09:56:52Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0xb066fc78998dde088662a31c99ee2c9196649989,96653596772796880781166540078336390662830123074269564342256907478131775634821,0,1e19
2023-09-12T09:57:30Z,0xbf47bda4b172daf321148197700cbed04dbe0d58,0x354a71fae7bcff635fb86c3301237cde3516f9fa,64925161250970691293814145386948018502544787197269242642402232900830124838446,0,1e18
2023-09-12T09:58:55Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0xb066fc78998dde088662a31c99ee2c9196649989,11108514644810787506625942805151176146906343604336317526498323953994384495368,0,1e19
2023-09-12T09:59:11Z,0x5d4e25fa847430bf1974637f5ba8cb09d0b94ec7,0x354a71fae7bcff635fb86c3301237cde3516f9fa,64925161250970691293814145386948018502544787197269242642402232900830124838446,0,1e18
2023-09-12T09:59:28Z,0x5a207fa8e1136303fd5232e200ca30042c45c3b6,0x6fd8e8858866effbe0cc710bfbce753901dfd50b,11108514644810787506625942805151176146906343604336317526498323953994384495368,0,1e19
2023-09-12T10:07:18Z,0x0d4c05e4bae5ee625aadc35479cc0b140ddf95d4,0x6fd8e8858866effbe0cc710bfbce753901dfd50b,96653596772796880781166540078336390662830123074269564342256907478131775634821,0,1e19
